Substance,CAS,URL Link,Uses
Methazole,20354-26-1,https://pubchem.ncbi.nlm.nih.gov/compound/20354-26-1,
Methimazole,60-56-0,https://pubchem.ncbi.nlm.nih.gov/compound/60-56-0,
Methotrexate,59-05-2,https://pubchem.ncbi.nlm.nih.gov/compound/59-05-2,Human drug
Methotrexate sodium,,,
5-Methoxypsoralen with ultraviolet A therapy,,,
8-Methoxypsoralen with ultraviolet A therapy,,,
2-Methylaziridine (Propyleneimine),,,
Methylazoxymethanol,,,
Methylazoxymethanol acetate,,,
"Methyl bromide, as a structural fumigant",,,
Methyl carbamate,598-55-0,https://pubchem.ncbi.nlm.nih.gov/compound/598-55-0,Adhesives and sealant chemicals
Methyl carbamate,598-55-0,https://pubchem.ncbi.nlm.nih.gov/compound/598-55-0,Paint additives and coating additives not described by other categories
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,Volatile organic compounds
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,Methyl chloride is used mainly in the production of silicones where it is used to make methylate silicon
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,It is also used in the production of agricultural chemicals
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,methyl cellulose
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,quaternary amines
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3, butyl rubber and for miscellaneous uses including tetramethyl lead.
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,Methyl chloride was used widely in refrigerators in the past
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,but generally this use has been taken over by newer chemicals such as Freon.
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,Adhesives and sealant chemicals
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,Adhesives and Sealants
"Methyl chloride [Basis for listing changed effective March 7, 2014]",,,
3-Methylcholanthrene,56-49-5,https://pubchem.ncbi.nlm.nih.gov/compound/56-49-5,
5-Methylchrysene,3697-24-3,https://pubchem.ncbi.nlm.nih.gov/compound/3697-24-3,
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,Benzidines/Aromatic amines
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,MBOCA is used as a curing agent for liquid polyurethane elastomers
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,These elastomers have been used to produce shoe soles
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,rolls for postage stamp machines
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,cutting bars in plywood manufacturing
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,rolls and belt drives in cameras
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,computers
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4, reproducing equipment
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,and pulleys for escalators and elevators.
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,Process regulators
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,Plastic and Rubber Products not covered elsewhere
"4,4'-Methylene bis(N,N-dimethyl)benzenamine",101-61-1,https://pubchem.ncbi.nlm.nih.gov/compound/101-61-1,
"4,4'-Methylene bis(2-methylaniline)",,,
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,Benzidines/Aromatic amines
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,"MDA is primarily used to produce 4,4-'methylenedianiline diisocyanate and other polymeric isocyanates which are used to manufacture polyurethane foams."
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,MDA is also used as a curing agent for epoxy resins and urethane elastomers
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,as a corrosion preventative for iron
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,as an antioxidant for lubricating oils
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,as a rubber processing chemical
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,as an intermediate in the manufacture of elastomeric fibers (e.g.
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,Spandex)
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9, in the preparation of azo dyes.
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,Process regulators
"4,4'-Methylenedianiline dihydrochloride",,,
Methyleugenol,93-15-2,https://pubchem.ncbi.nlm.nih.gov/compound/93-15-2,
Methylhydrazine and its salts,,,
Methylhydrazine,60-34-4,https://pubchem.ncbi.nlm.nih.gov/compound/60-34-4,Methylhydrazine is primarily used as a high-energy fuel in military applications
Methylhydrazine,60-34-4,https://pubchem.ncbi.nlm.nih.gov/compound/60-34-4,as a rocket propellant and fuel for thrusters
Methylhydrazine,60-34-4,https://pubchem.ncbi.nlm.nih.gov/compound/60-34-4, as fuel for small electrical power generating units.
Methylhydrazine,60-34-4,https://pubchem.ncbi.nlm.nih.gov/compound/60-34-4,Methylhydrazine is also used as a chemical intermediate and as a solvent.
Methylhydrazine sulfate,,,
2-Methylimidazole,693-98-1,https://pubchem.ncbi.nlm.nih.gov/compound/693-98-1,
4-Methylimidazole,822-36-6,https://pubchem.ncbi.nlm.nih.gov/compound/822-36-6,
Methyl iodide,74-88-4,https://pubchem.ncbi.nlm.nih.gov/compound/74-88-4,Methyl iodide is used as an intermediate in the manufacture of some pharmaceuticals and pesticides
Methyl iodide,74-88-4,https://pubchem.ncbi.nlm.nih.gov/compound/74-88-4,It is also used in methylation processes and in the field of microscopy.
Methyl iodide,74-88-4,https://pubchem.ncbi.nlm.nih.gov/compound/74-88-4,Proposed uses of methyl iodide are as a fire extinguisher and as an insecticidal fumigant.
Methyl iodide,74-88-4,https://pubchem.ncbi.nlm.nih.gov/compound/74-88-4,Functional fluids (open systems)
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1,Food additives 
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1, Flavoring Agents
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1,Paint additives and coating additives not described by other categories
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1,Processing aids
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1,Solvents (for cleaning or degreasing)
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1,Solvents (which become part of product formulation or mixture)
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1,Paints and Coatings
Methyl isobutyl ketone (MIBK),,,
Methyl isocyanate (MIC),,,
Methyl mercury,,,
Methylmercury compounds,,,
Methyl methanesulfonate,66-27-3,https://pubchem.ncbi.nlm.nih.gov/compound/66-27-3,
Methyl-n-butyl ketone,591-78-6,https://pubchem.ncbi.nlm.nih.gov/compound/591-78-6,Volatile organic compounds
"Methyl-n-butyl ketone [Basis for listing changed effective November 9, 2015]",,,
2-Methyl-1-nitroanthraquinone (of uncertain purity),,,
,,,
N-Methylolacrylamide,924-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/924-42-5,Adhesives and sealant chemicals
N-Methylolacrylamide,924-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/924-42-5,Processing aids
N-Methylolacrylamide,924-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/924-42-5,Adhesives and Sealants
N-Methylolacrylamide,924-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/924-42-5,Fabric
N-Methylolacrylamide,924-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/924-42-5,Textile
N-Methylolacrylamide,924-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/924-42-5, Leather Products not covered elsewhere
N-Methylpyrrolidone,872-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/872-50-4,Adhesives and sealant chemicals
N-Methylpyrrolidone,872-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/872-50-4,Paint additives and coating additives not described by other categories
N-Methylpyrrolidone,872-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/872-50-4,Plating agents and surface treating agents
N-Methylpyrrolidone,872-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/872-50-4,Processing aids
N-Methylpyrrolidone,872-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/872-50-4,Processing aids
N-Methylpyrrolidone,872-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/872-50-4,specific to petroleum production
